Drift
RAM Structural System
17.03.00.285
DataBase: 21
Building Code: IBC
Steel Code: IBC
06/17/22 17:44:05
CRITERIA:
Rigid End Zones:       Ignore Effects
Member Force Output:   At Face of Joint
P-Delta:,Yes,Scale Factor (DL):,1.20,Scale Factor (LL):,1.60
,,Scale Factor (Roof):,0.50,Scale Factor (Snow):,1.00
Ground Level:,Base
LOAD CASE DEFINITIONS:
D    ,DeadLoad       ,RAMUSER            
Lp   ,PosLiveLoad    ,RAMUSER            
Ln   ,NegLiveLoad    ,RAMUSER            
Rfp  ,PosRoofLiveLoad,RAMUSER            
Rfn  ,NegRoofLiveLoad,RAMUSER            
E1   ,EQ             ,EQ_ASCE716_X_+E_F  
E2   ,EQ             ,EQ_ASCE716_X_-E_F  
E3   ,EQ             ,EQ_ASCE716_Y_+E_F  
E4   ,EQ             ,EQ_ASCE716_Y_-E_F  
W1   ,WIND           ,Wind_ASCE716_1_X   
W2   ,WIND           ,Wind_ASCE716_1_Y   
W3   ,WIND           ,Wind_ASCE716_2_X+E 
W4   ,WIND           ,Wind_ASCE716_2_X-E 
W5   ,WIND           ,Wind_ASCE716_2_Y+E 
W6   ,WIND           ,Wind_ASCE716_2_Y-E 
W7   ,WIND           ,Wind_ASCE716_3_X+Y 
W8   ,WIND           ,Wind_ASCE716_3_X-Y 
W9   ,WIND           ,Wind_ASCE716_4_X+Y_CW
W10  ,WIND           ,Wind_ASCE716_4_X+Y_CCW
W11  ,WIND           ,Wind_ASCE716_4_X-Y_CW
W12  ,WIND           ,Wind_ASCE716_4_X-Y_CCW
E5   ,EQ_DRIFT       ,EQ_ASCE716_X_+E_Drft
E6   ,EQ_DRIFT       ,EQ_ASCE716_X_-E_Drft
E7   ,EQ_DRIFT       ,EQ_ASCE716_Y_+E_Drft
E8   ,EQ_DRIFT       ,EQ_ASCE716_Y_-E_Drft
W13  ,WIND_DRIFT     ,Wind_ASCE716_1_X   
W14  ,WIND_DRIFT     ,Wind_ASCE716_1_Y   
W15  ,WIND_DRIFT     ,Wind_ASCE716_2_X+E 
W16  ,WIND_DRIFT     ,Wind_ASCE716_2_X-E 
W17  ,WIND_DRIFT     ,Wind_ASCE716_2_Y+E 
W18  ,WIND_DRIFT     ,Wind_ASCE716_2_Y-E 
W19  ,WIND_DRIFT     ,Wind_ASCE716_3_X+Y 
W20  ,WIND_DRIFT     ,Wind_ASCE716_3_X-Y 
W21  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CW
W22  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CCW
W23  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CW
W24  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CCW
ND1  ,NOTIONAL       ,NL_AISC360_DL_X    
ND2  ,NOTIONAL       ,NL_AISC360_DL_Y    
NL1  ,NOTIONAL       ,NL_AISC360_LL_X    
NL2  ,NOTIONAL       ,NL_AISC360_LL_Y    
NR1  ,NOTIONAL       ,NL_AISC360_Rf_X    
NR2  ,NOTIONAL       ,NL_AISC360_Rf_Y    
RESULTS:
 Location  (ft): (180.000, -85.500)
 Story, LdC, Displacement, Story Drift, Drift Ratio
,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
Head House Roof,  D,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, Lp,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, Ln,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,Rfp,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,Rfn,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E1,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E2,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E3,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E4,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, W1,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, W2,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, W3,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, W4,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, W5,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, W6,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, W7,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, W8,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, W9,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W10,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W11,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W12,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E5,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E6,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E7,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E8,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W13,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W14,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W15,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W16,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W17,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W18,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W19,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W20,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W21,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W22,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W23,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W24,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,ND1,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,ND2,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,NL1,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,NL2,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,NR1,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,NR2,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, V1,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
