Drift
RAM Structural System
17.03.00.285
DataBase: 21
Building Code: IBC
Steel Code: IBC
07/05/22 17:04:10
CRITERIA:
Rigid End Zones:       Ignore Effects
Member Force Output:   At Face of Joint
P-Delta:,Yes,Scale Factor (DL):,1.20,Scale Factor (LL):,1.60
,,Scale Factor (Roof):,0.50,Scale Factor (Snow):,1.00
Ground Level:,Base
Use Reduced Stiffness for Steel Members (AISC 360):,  t b =  1.00
LOAD CASE DEFINITIONS:
E5   ,EQ_DRIFT       ,EQ_ASCE716_X_+E_Drft
E6   ,EQ_DRIFT       ,EQ_ASCE716_X_-E_Drft
E7   ,EQ_DRIFT       ,EQ_ASCE716_Y_+E_Drft
E8   ,EQ_DRIFT       ,EQ_ASCE716_Y_-E_Drft
W13  ,WIND_DRIFT     ,Wind_ASCE716_1_X   
W14  ,WIND_DRIFT     ,Wind_ASCE716_1_Y   
W15  ,WIND_DRIFT     ,Wind_ASCE716_2_X+E 
W16  ,WIND_DRIFT     ,Wind_ASCE716_2_X-E 
W17  ,WIND_DRIFT     ,Wind_ASCE716_2_Y+E 
W18  ,WIND_DRIFT     ,Wind_ASCE716_2_Y-E 
W19  ,WIND_DRIFT     ,Wind_ASCE716_3_X+Y 
W20  ,WIND_DRIFT     ,Wind_ASCE716_3_X-Y 
W21  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CW
W22  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CCW
W23  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CW
W24  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CCW
RESULTS:
 Location  (ft): (180.000, -85.500)
 Story, LdC, Displacement, Story Drift, Drift Ratio
,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
Head House Roof, E5,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E6,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E7,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
, E8,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W13,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W14,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W15,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W16,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W17,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W18,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W19,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W20,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W21,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W22,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W23,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W24,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
Roof           , E5,  2.0706,  0.6440,  0.3540,  0.0701,  0.0018,  0.0004
, E6,  3.8240,  3.3491,  0.6421,  0.5050,  0.0032,  0.0026
, E7,  2.1668,  4.6682,  0.3559,  0.8156,  0.0018,  0.0041
, E8, -0.2018,  1.0128, -0.0233,  0.2443,  0.0001,  0.0012
,W13,  0.8747,  0.6571,  0.1863,  0.1272,  0.0009,  0.0006
