Drift
RAM Structural System
17.04.01.07
DataBase: 220822 - Building 1_LATEST(sung)
Building Code: IBC
Steel Code: IBC
09/06/22 09:48:13
CRITERIA:
Rigid End Zones:       Ignore Effects
Member Force Output:   At Face of Joint
P-Delta:,Yes,Scale Factor (DL):,1.20,Scale Factor (LL):,1.60
,,Scale Factor (Roof):,0.50,Scale Factor (Snow):,1.00
Ground Level:,Base
Use Reduced Stiffness for Steel Members (AISC 360):,  t b =  1.00
LOAD CASE DEFINITIONS:
E5   ,EQ_DRIFT       ,EQ_ASCE716_X_+E_Drft
E6   ,EQ_DRIFT       ,EQ_ASCE716_X_-E_Drft
E7   ,EQ_DRIFT       ,EQ_ASCE716_Y_+E_Drft
E8   ,EQ_DRIFT       ,EQ_ASCE716_Y_-E_Drft
W13  ,WIND_DRIFT     ,Wind_ASCE716_1_X   
W14  ,WIND_DRIFT     ,Wind_ASCE716_1_Y   
W15  ,WIND_DRIFT     ,Wind_ASCE716_2_X+E 
W16  ,WIND_DRIFT     ,Wind_ASCE716_2_X-E 
W17  ,WIND_DRIFT     ,Wind_ASCE716_2_Y+E 
W18  ,WIND_DRIFT     ,Wind_ASCE716_2_Y-E 
W19  ,WIND_DRIFT     ,Wind_ASCE716_3_X+Y 
W20  ,WIND_DRIFT     ,Wind_ASCE716_3_X-Y 
W21  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CW
W22  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CCW
W23  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CW
W24  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CCW
RESULTS:
 Location  (ft): (0.000, 0.000)
 Story, LdC, Displacement, Story Drift, Drift Ratio
,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
Roof           , E5,  0.1146,  0.3863,  0.0494,  0.2381,  0.0003,  0.0013
, E6,  0.2497,  0.1867,  0.1109,  0.1326,  0.0006,  0.0007
, E7, -0.1319,  0.4551, -0.0596,  0.2200,  0.0003,  0.0012
, E8, -0.1965,  0.5504, -0.0874,  0.2683,  0.0005,  0.0015
,W13,  0.0879,  0.1577,  0.0405,  0.0989,  0.0002,  0.0005
,W14, -0.0508,  0.1507, -0.0206,  0.0682,  0.0001,  0.0004
,W15,  0.0097,  0.2014,  0.0047,  0.1183,  0.0000,  0.0007
,W16,  0.1221,  0.0352,  0.0560,  0.0302,  0.0003,  0.0002
,W17, -0.0217,  0.0889, -0.0086,  0.0391,  0.0000,  0.0002
,W18, -0.0545,  0.1372, -0.0223,  0.0632,  0.0001,  0.0004
,W19,  0.0278,  0.2313,  0.0149,  0.1254,  0.0001,  0.0007
,W20,  0.1040,  0.0053,  0.0458,  0.0230,  0.0003,  0.0001
,W21, -0.0336,  0.2539, -0.0132,  0.1361,  0.0001,  0.0008
,W22,  0.0753,  0.0931,  0.0356,  0.0520,  0.0002,  0.0003
,W23,  0.0236,  0.0844,  0.0100,  0.0593,  0.0001,  0.0003
,W24,  0.1325, -0.0765,  0.0588, -0.0248,  0.0003,  0.0001
Level 2        , E5,  0.0652,  0.1481,  0.0652,  0.1481,  0.0004,  0.0008
, E6,  0.1388,  0.0541,  0.1388,  0.0541,  0.0008,  0.0003
, E7, -0.0723,  0.2351, -0.0723,  0.2351,  0.0004,  0.0013
, E8, -0.1092,  0.2821, -0.1092,  0.2821,  0.0006,  0.0016
,W13,  0.0474,  0.0588,  0.0474,  0.0588,  0.0003,  0.0003
