Drift
RAM Structural System
17.04.01.07
DataBase: 21
Building Code: IBC
Steel Code: IBC
09/06/22 14:51:30
CRITERIA:
Rigid End Zones:       Ignore Effects
Member Force Output:   At Face of Joint
P-Delta:,Yes,Scale Factor (DL):,1.20,Scale Factor (LL):,1.60
,,Scale Factor (Roof):,0.50,Scale Factor (Snow):,1.00
Ground Level:,Base
LOAD CASE DEFINITIONS:
E37  ,EQ_DRIFT       ,EQ_ASCE716_X_+E_Drft
E38  ,EQ_DRIFT       ,EQ_ASCE716_X_-E_Drft
E39  ,EQ_DRIFT       ,EQ_ASCE716_Y_+E_Drft
E40  ,EQ_DRIFT       ,EQ_ASCE716_Y_-E_Drft
E41  ,EQ_DRIFT       ,EQ_ASCE716_X_+E_0.3Y_+E_Drft
E42  ,EQ_DRIFT       ,EQ_ASCE716_X_+E_-0.3Y_+E_Drft
E43  ,EQ_DRIFT       ,EQ_ASCE716_-X_+E_0.3Y_+E_Drft
E44  ,EQ_DRIFT       ,EQ_ASCE716_-X_+E_-0.3Y_+E_Drft
E45  ,EQ_DRIFT       ,EQ_ASCE716_0.3X_+E_Y_+E_Drft
E46  ,EQ_DRIFT       ,EQ_ASCE716_0.3X_+E_-Y_+E_Drft
E47  ,EQ_DRIFT       ,EQ_ASCE716_-0.3X_+E_Y_+E_Drft
E48  ,EQ_DRIFT       ,EQ_ASCE716_-0.3X_+E_-Y_+E_Drft
E49  ,EQ_DRIFT       ,EQ_ASCE716_X_+E_0.3Y_-E_Drft
E50  ,EQ_DRIFT       ,EQ_ASCE716_X_+E_-0.3Y_-E_Drft
E51  ,EQ_DRIFT       ,EQ_ASCE716_-X_+E_0.3Y_-E_Drft
E52  ,EQ_DRIFT       ,EQ_ASCE716_-X_+E_-0.3Y_-E_Drft
E53  ,EQ_DRIFT       ,EQ_ASCE716_0.3X_+E_Y_-E_Drft
E54  ,EQ_DRIFT       ,EQ_ASCE716_0.3X_+E_-Y_-E_Drft
E55  ,EQ_DRIFT       ,EQ_ASCE716_-0.3X_+E_Y_-E_Drft
E56  ,EQ_DRIFT       ,EQ_ASCE716_-0.3X_+E_-Y_-E_Drft
E57  ,EQ_DRIFT       ,EQ_ASCE716_X_-E_0.3Y_+E_Drft
E58  ,EQ_DRIFT       ,EQ_ASCE716_X_-E_-0.3Y_+E_Drft
E59  ,EQ_DRIFT       ,EQ_ASCE716_-X_-E_0.3Y_+E_Drft
E60  ,EQ_DRIFT       ,EQ_ASCE716_-X_-E_-0.3Y_+E_Drft
E61  ,EQ_DRIFT       ,EQ_ASCE716_0.3X_-E_Y_+E_Drft
E62  ,EQ_DRIFT       ,EQ_ASCE716_0.3X_-E_-Y_+E_Drft
E63  ,EQ_DRIFT       ,EQ_ASCE716_-0.3X_-E_Y_+E_Drft
E64  ,EQ_DRIFT       ,EQ_ASCE716_-0.3X_-E_-Y_+E_Drft
E65  ,EQ_DRIFT       ,EQ_ASCE716_X_-E_0.3Y_-E_Drft
E66  ,EQ_DRIFT       ,EQ_ASCE716_X_-E_-0.3Y_-E_Drft
E67  ,EQ_DRIFT       ,EQ_ASCE716_-X_-E_0.3Y_-E_Drft
E68  ,EQ_DRIFT       ,EQ_ASCE716_-X_-E_-0.3Y_-E_Drft
E69  ,EQ_DRIFT       ,EQ_ASCE716_0.3X_-E_Y_-E_Drft
E70  ,EQ_DRIFT       ,EQ_ASCE716_0.3X_-E_-Y_-E_Drft
E71  ,EQ_DRIFT       ,EQ_ASCE716_-0.3X_-E_Y_-E_Drft
E72  ,EQ_DRIFT       ,EQ_ASCE716_-0.3X_-E_-Y_-E_Drft
W13  ,WIND_DRIFT     ,Wind_ASCE716_1_X   
W14  ,WIND_DRIFT     ,Wind_ASCE716_1_Y   
W15  ,WIND_DRIFT     ,Wind_ASCE716_2_X+E 
W16  ,WIND_DRIFT     ,Wind_ASCE716_2_X-E 
W17  ,WIND_DRIFT     ,Wind_ASCE716_2_Y+E 
W18  ,WIND_DRIFT     ,Wind_ASCE716_2_Y-E 
W19  ,WIND_DRIFT     ,Wind_ASCE716_3_X+Y 
W20  ,WIND_DRIFT     ,Wind_ASCE716_3_X-Y 
W21  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CW
W22  ,WIND_DRIFT     ,Wind_ASCE716_4_X+Y_CCW
W23  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CW
W24  ,WIND_DRIFT     ,Wind_ASCE716_4_X-Y_CCW
RESULTS:
 Location  (ft): (40.000, 177.000)
 Story, LdC, Displacement, Story Drift, Drift Ratio
,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
Elevator Roof  ,E37,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E38,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E39,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E40,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E41,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E42,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E43,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E44,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E45,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E46,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E47,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E48,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E49,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E50,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E51,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E52,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E53,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E54,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E55,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E56,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E57,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E58,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E59,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E60,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E61,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E62,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E63,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E64,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E65,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E66,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E67,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E68,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E69,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E70,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E71,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E72,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W13,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W14,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W15,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W16,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W17,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W18,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W19,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W20,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W21,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W22,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W23,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,W24,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
Level 11 / Elev Eqp,E37,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E38,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E39,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E40,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E41,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E42,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E43,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
,E44,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000
